year,ind1990,count,total_count,share,percentage
1968,10,78,3875,0.020129032258064516,2.0129032258064514
1968,31,3,3875,7.741935483870968e-4,0.07741935483870968
1968,32,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,40,5,3875,0.0012903225806451613,0.12903225806451613
1968,42,12,3875,0.003096774193548387,0.3096774193548387
1968,50,9,3875,0.00232258064516129,0.23225806451612901
1968,60,201,3875,0.05187096774193548,5.187096774193548
1968,100,13,3875,0.0033548387096774194,0.33548387096774196
1968,101,15,3875,0.003870967741935484,0.3870967741935484
1968,102,22,3875,0.00567741935483871,0.567741935483871
1968,110,6,3875,0.0015483870967741935,0.15483870967741936
1968,111,18,3875,0.00464516129032258,0.46451612903225803
1968,112,3,3875,7.741935483870968e-4,0.07741935483870968
1968,120,12,3875,0.003096774193548387,0.3096774193548387
1968,121,17,3875,0.004387096774193549,0.43870967741935485
1968,132,2,3875,5.161290322580645e-4,0.05161290322580645
1968,140,5,3875,0.0012903225806451613,0.12903225806451613
1968,141,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,142,2,3875,5.161290322580645e-4,0.05161290322580645
1968,150,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,151,40,3875,0.01032258064516129,1.032258064516129
1968,152,4,3875,0.001032258064516129,0.1032258064516129
1968,160,3,3875,7.741935483870968e-4,0.07741935483870968
1968,161,5,3875,0.0012903225806451613,0.12903225806451613
1968,162,11,3875,0.002838709677419355,0.2838709677419355
1968,171,26,3875,0.006709677419354839,0.6709677419354839
1968,172,33,3875,0.008516129032258065,0.8516129032258065
1968,180,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,181,6,3875,0.0015483870967741935,0.15483870967741936
1968,190,8,3875,0.002064516129032258,0.2064516129032258
1968,192,35,3875,0.00903225806451613,0.903225806451613
1968,200,24,3875,0.006193548387096774,0.6193548387096774
1968,201,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,211,11,3875,0.002838709677419355,0.2838709677419355
1968,212,16,3875,0.004129032258064516,0.4129032258064516
1968,221,2,3875,5.161290322580645e-4,0.05161290322580645
1968,222,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,230,2,3875,5.161290322580645e-4,0.05161290322580645
1968,231,16,3875,0.004129032258064516,0.4129032258064516
1968,241,4,3875,0.001032258064516129,0.1032258064516129
1968,242,19,3875,0.004903225806451613,0.49032258064516127
1968,250,2,3875,5.161290322580645e-4,0.05161290322580645
1968,251,14,3875,0.0036129032258064514,0.36129032258064514
1968,252,3,3875,7.741935483870968e-4,0.07741935483870968
1968,262,5,3875,0.0012903225806451613,0.12903225806451613
1968,270,12,3875,0.003096774193548387,0.3096774193548387
1968,271,13,3875,0.0033548387096774194,0.33548387096774196
1968,280,10,3875,0.0025806451612903226,0.25806451612903225
1968,281,9,3875,0.00232258064516129,0.23225806451612901
1968,282,28,3875,0.007225806451612903,0.7225806451612903
1968,300,108,3875,0.027870967741935485,2.7870967741935484
1968,311,9,3875,0.00232258064516129,0.23225806451612901
1968,321,38,3875,0.009806451612903225,0.9806451612903225
1968,332,68,3875,0.017548387096774195,1.7548387096774194
1968,342,181,3875,0.04670967741935484,4.670967741935484
1968,351,37,3875,0.009548387096774193,0.9548387096774194
1968,352,165,3875,0.04258064516129032,4.258064516129032
1968,360,39,3875,0.010064516129032258,1.0064516129032257
1968,361,10,3875,0.0025806451612903226,0.25806451612903225
1968,371,24,3875,0.006193548387096774,0.6193548387096774
1968,380,6,3875,0.0015483870967741935,0.15483870967741936
1968,391,19,3875,0.004903225806451613,0.49032258064516127
1968,400,28,3875,0.007225806451612903,0.7225806451612903
1968,401,12,3875,0.003096774193548387,0.3096774193548387
1968,402,10,3875,0.0025806451612903226,0.25806451612903225
1968,410,5,3875,0.0012903225806451613,0.12903225806451613
1968,411,38,3875,0.009806451612903225,0.9806451612903225
1968,412,53,3875,0.01367741935483871,1.367741935483871
1968,420,11,3875,0.002838709677419355,0.2838709677419355
1968,421,44,3875,0.01135483870967742,1.135483870967742
1968,422,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,432,5,3875,0.0012903225806451613,0.12903225806451613
1968,440,5,3875,0.0012903225806451613,0.12903225806451613
1968,441,78,3875,0.020129032258064516,2.0129032258064514
1968,442,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,450,25,3875,0.0064516129032258064,0.6451612903225806
1968,451,10,3875,0.0025806451612903226,0.25806451612903225
1968,452,27,3875,0.006967741935483871,0.6967741935483871
1968,470,9,3875,0.00232258064516129,0.23225806451612901
1968,471,12,3875,0.003096774193548387,0.3096774193548387
1968,472,4,3875,0.001032258064516129,0.1032258064516129
1968,500,9,3875,0.00232258064516129,0.23225806451612901
1968,512,21,3875,0.005419354838709678,0.5419354838709678
1968,530,26,3875,0.006709677419354839,0.6709677419354839
1968,541,7,3875,0.0018064516129032257,0.18064516129032257
1968,542,2,3875,5.161290322580645e-4,0.05161290322580645
1968,550,31,3875,0.008,0.8
1968,551,2,3875,5.161290322580645e-4,0.05161290322580645
1968,552,5,3875,0.0012903225806451613,0.12903225806451613
1968,562,37,3875,0.009548387096774193,0.9548387096774194
1968,571,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,580,16,3875,0.004129032258064516,0.4129032258064516
1968,581,8,3875,0.002064516129032258,0.2064516129032258
1968,592,9,3875,0.00232258064516129,0.23225806451612901
1968,600,75,3875,0.01935483870967742,1.935483870967742
1968,601,77,3875,0.019870967741935485,1.9870967741935486
1968,602,1,3875,2.5806451612903227e-4,0.025806451612903226
